Case    |No      |Elem    |    F_A(t)  
      1.|      1.|    138.|       40.31
      1.|      2.|    110.|        0.61
      1.|      3.|     70.|       39.74
      1.|      4.|     70.|       39.74
      1.|      5.|     70.|       39.74
      1.|      6.|     70.|       39.74
      2.|      1.|    138.|       41.37
      2.|      2.|    110.|        0.04
      2.|      3.|     70.|       39.03
      2.|      4.|     70.|       39.03
      2.|      5.|     70.|       39.03
      2.|      6.|     70.|       39.03
      3.|      1.|    138.|       42.42
      3.|      2.|    110.|       -0.53
      3.|      3.|     70.|       38.31
      3.|      4.|     70.|       38.31
      3.|      5.|     70.|       38.31
      3.|      6.|     70.|       38.31
      4.|      1.|    138.|       43.46
      4.|      2.|    110.|       -1.09
      4.|      3.|     70.|       37.57
      4.|      4.|     70.|       37.57
      4.|      5.|     70.|       37.57
      4.|      6.|     70.|       37.57
      5.|      1.|    138.|       44.49
      5.|      2.|    110.|       -1.66
      5.|      3.|     70.|       36.83
      5.|      4.|     70.|       36.83
      5.|      5.|     70.|       36.83
      5.|      6.|     70.|       36.83
      6.|      1.|    138.|       45.50
      6.|      2.|    110.|       -2.23
      6.|      3.|     70.|       36.07
      6.|      4.|     70.|       36.07
      6.|      5.|     70.|       36.07
      6.|      6.|     70.|       36.07
      7.|      1.|    138.|       46.50
      7.|      2.|    110.|       -2.79
      7.|      3.|     70.|       35.31
      7.|      4.|     70.|       35.31
      7.|      5.|     70.|       35.31
      7.|      6.|     70.|       35.31
      8.|      1.|    138.|       47.48
      8.|      2.|    110.|       -3.36
      8.|      3.|     70.|       34.53
      8.|      4.|     70.|       34.53
      8.|      5.|     70.|       34.53
      8.|      6.|     70.|       34.53
      9.|      1.|    138.|       48.45
      9.|      2.|    110.|       -3.92
      9.|      3.|     70.|       33.74
      9.|      4.|     70.|       33.74
      9.|      5.|     70.|       33.74
      9.|      6.|     70.|       33.74
     10.|      1.|    138.|       49.40
     10.|      2.|    110.|       -4.48
     10.|      3.|     70.|       32.94
     10.|      4.|     70.|       32.94
     10.|      5.|     70.|       32.94
     10.|      6.|     70.|       32.94
     11.|      1.|    138.|       50.34
     11.|      2.|    110.|       -5.04
     11.|      3.|     70.|       32.14
     11.|      4.|     70.|       32.14
     11.|      5.|     70.|       32.14
     11.|      6.|     70.|       32.14
     12.|      1.|    138.|       51.27
     12.|      2.|    110.|       -5.60
     12.|      3.|     70.|       31.32
     12.|      4.|     70.|       31.32
     12.|      5.|     70.|       31.32
     12.|      6.|     70.|       31.32
     13.|      1.|    138.|       52.18
     13.|      2.|    110.|       -6.16
     13.|      3.|     70.|       30.49
     13.|      4.|     70.|       30.49
     13.|      5.|     70.|       30.49
     13.|      6.|     70.|       30.49
     14.|      1.|    138.|       53.07
     14.|      2.|    110.|       -6.72
     14.|      3.|     70.|       29.65
     14.|      4.|     70.|       29.65
     14.|      5.|     70.|       29.65
     14.|      6.|     70.|       29.65
     15.|      1.|    138.|       53.94
     15.|      2.|    110.|       -7.27
     15.|      3.|     70.|       28.81
     15.|      4.|     70.|       28.81
     15.|      5.|     70.|       28.81
     15.|      6.|     70.|       28.81
     16.|      1.|    138.|       54.80
     16.|      2.|    110.|       -7.82
     16.|      3.|     70.|       27.95
     16.|      4.|     70.|       27.95
     16.|      5.|     70.|       27.95
     16.|      6.|     70.|       27.95
     17.|      1.|    138.|       55.65
     17.|      2.|    110.|       -8.37
     17.|      3.|     70.|       27.09
     17.|      4.|     70.|       27.09
     17.|      5.|     70.|       27.09
     17.|      6.|     70.|       27.09
     18.|      1.|    138.|       56.47
     18.|      2.|    110.|       -8.92
