Case    |No      |Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
      1.|      1.|    249.|      -18.13|       36.00|        1.16|        0.00|        0.00|        0.00
      1.|      2.|    122.|       18.13|       36.00|        1.65|        0.00|        0.00|        0.00
      1.|      3.|    122.|       18.13|       36.00|        1.65|        0.00|        0.00|        0.00
      1.|      4.|    122.|       18.13|       36.00|        1.65|        0.00|        0.00|        0.00
      1.|      5.|    122.|       18.13|       36.00|        1.65|        0.00|        0.00|        0.00
      1.|      6.|    122.|       18.13|       36.00|        1.65|        0.00|        0.00|        0.00
      2.|      1.|    249.|      -18.61|       36.95|        1.16|        0.00|        0.00|        0.00
      2.|      2.|    122.|       17.35|       35.04|        1.65|        0.00|        0.00|        0.00
      2.|      3.|    122.|       17.35|       35.04|        1.65|        0.00|        0.00|        0.00
      2.|      4.|    122.|       17.35|       35.04|        1.65|        0.00|        0.00|        0.00
      2.|      5.|    122.|       17.35|       35.04|        1.65|        0.00|        0.00|        0.00
      2.|      6.|    122.|       17.35|       35.04|        1.65|        0.00|        0.00|        0.00
      3.|      1.|    249.|      -19.08|       37.89|        1.16|        0.00|        0.00|        0.00
      3.|      2.|    122.|       16.56|       34.06|        1.65|        0.00|        0.00|        0.00
      3.|      3.|    122.|       16.56|       34.06|        1.65|        0.00|        0.00|        0.00
      3.|      4.|    122.|       16.56|       34.06|        1.65|        0.00|        0.00|        0.00
      3.|      5.|    122.|       16.56|       34.06|        1.65|        0.00|        0.00|        0.00
      3.|      6.|    122.|       16.56|       34.06|        1.65|        0.00|        0.00|        0.00
      4.|      1.|    249.|      -19.54|       38.82|        1.16|        0.00|        0.00|        0.00
      4.|      2.|    122.|       15.77|       33.08|        1.65|        0.00|        0.00|        0.00
      4.|      3.|    122.|       15.77|       33.08|        1.65|        0.00|        0.00|        0.00
      4.|      4.|    122.|       15.77|       33.08|        1.65|        0.00|        0.00|        0.00
      4.|      5.|    122.|       15.77|       33.08|        1.65|        0.00|        0.00|        0.00
      4.|      6.|    122.|       15.77|       33.08|        1.65|        0.00|        0.00|        0.00
      5.|      1.|    249.|      -20.00|       39.74|        1.16|        0.00|        0.00|        0.00
      5.|      2.|    122.|       14.98|       32.09|        1.65|        0.00|        0.00|        0.00
      5.|      3.|    122.|       14.98|       32.09|        1.65|        0.00|        0.00|        0.00
      5.|      4.|    122.|       14.98|       32.09|        1.65|        0.00|        0.00|        0.00
      5.|      5.|    122.|       14.98|       32.09|        1.65|        0.00|        0.00|        0.00
      5.|      6.|    122.|       14.98|       32.09|        1.65|        0.00|        0.00|        0.00
      6.|      1.|    249.|      -20.45|       40.64|        1.16|        0.00|        0.00|        0.00
      6.|      2.|    122.|       14.17|       31.08|        1.65|        0.00|        0.00|        0.00
      6.|      3.|    122.|       14.17|       31.08|        1.65|        0.00|        0.00|        0.00
      6.|      4.|    122.|       14.17|       31.08|        1.65|        0.00|        0.00|        0.00
      6.|      5.|    122.|       14.17|       31.08|        1.65|        0.00|        0.00|        0.00
      6.|      6.|    122.|       14.17|       31.08|        1.65|        0.00|        0.00|        0.00
      7.|      1.|    249.|      -20.90|       41.54|        1.16|        0.00|        0.00|        0.00
      7.|      2.|    122.|       13.37|       30.07|        1.65|        0.00|        0.00|        0.00
      7.|      3.|    122.|       13.37|       30.07|        1.65|        0.00|        0.00|        0.00
      7.|      4.|    122.|       13.37|       30.07|        1.65|        0.00|        0.00|        0.00
      7.|      5.|    122.|       13.37|       30.07|        1.65|        0.00|        0.00|        0.00
      7.|      6.|    122.|       13.37|       30.07|        1.65|        0.00|        0.00|        0.00
      8.|      1.|    249.|      -21.33|       42.42|        1.16|        0.00|        0.00|        0.00
      8.|      2.|    122.|       12.56|       29.05|        1.65|        0.00|        0.00|        0.00
      8.|      3.|    122.|       12.56|       29.05|        1.65|        0.00|        0.00|        0.00
      8.|      4.|    122.|       12.56|       29.05|        1.65|        0.00|        0.00|        0.00
      8.|      5.|    122.|       12.56|       29.05|        1.65|        0.00|        0.00|        0.00
      8.|      6.|    122.|       12.56|       29.05|        1.65|        0.00|        0.00|        0.00
      9.|      1.|    249.|      -21.77|       43.28|        1.16|        0.00|        0.00|        0.00
      9.|      2.|    122.|       11.75|       28.02|        1.65|        0.00|        0.00|        0.00
      9.|      3.|    122.|       11.75|       28.02|        1.65|        0.00|        0.00|        0.00
      9.|      4.|    122.|       11.75|       28.02|        1.65|        0.00|        0.00|        0.00
      9.|      5.|    122.|       11.75|       28.02|        1.65|        0.00|        0.00|        0.00
      9.|      6.|    122.|       11.75|       28.02|        1.65|        0.00|        0.00|        0.00
     10.|      1.|    249.|      -22.19|       44.14|        1.16|        0.00|        0.00|        0.00
     10.|      2.|    122.|       10.93|       26.98|        1.65|        0.00|        0.00|        0.00
     10.|      3.|    122.|       10.93|       26.98|        1.65|        0.00|        0.00|        0.00
     10.|      4.|    122.|       10.93|       26.98|        1.65|        0.00|        0.00|        0.00
     10.|      5.|    122.|       10.93|       26.98|        1.65|        0.00|        0.00|        0.00
     10.|      6.|    122.|       10.93|       26.98|        1.65|        0.00|        0.00|        0.00
     11.|      1.|    249.|      -22.61|       44.98|        1.16|        0.00|        0.00|        0.00
     11.|      2.|    122.|       10.11|       25.93|        1.65|        0.00|        0.00|        0.00
     11.|      3.|    122.|       10.11|       25.93|        1.65|        0.00|        0.00|        0.00
     11.|      4.|    122.|       10.11|       25.93|        1.65|        0.00|        0.00|        0.00
     11.|      5.|    122.|       10.11|       25.93|        1.65|        0.00|        0.00|        0.00
     11.|      6.|    122.|       10.11|       25.93|        1.65|        0.00|        0.00|        0.00
     12.|      1.|    249.|      -23.02|       45.81|        1.16|        0.00|        0.00|        0.00
     12.|      2.|    122.|        9.29|       24.87|        1.65|        0.00|        0.00|        0.00
     12.|      3.|    122.|        9.29|       24.87|        1.65|        0.00|        0.00|        0.00
     12.|      4.|    122.|        9.29|       24.87|        1.65|        0.00|        0.00|        0.00
     12.|      5.|    122.|        9.29|       24.87|        1.65|        0.00|        0.00|        0.00
     12.|      6.|    122.|        9.29|       24.87|        1.65|        0.00|        0.00|        0.00
     13.|      1.|    249.|      -23.43|       46.62|        1.16|        0.00|        0.00|        0.00
     13.|      2.|    122.|        8.46|       23.81|        1.65|        0.00|        0.00|        0.00
     13.|      3.|    122.|        8.46|       23.81|        1.65|        0.00|        0.00|        0.00
     13.|      4.|    122.|        8.46|       23.81|        1.65|        0.00|        0.00|        0.00
     13.|      5.|    122.|        8.46|       23.81|        1.65|        0.00|        0.00|        0.00
     13.|      6.|    122.|        8.46|       23.81|        1.65|        0.00|        0.00|        0.00
     14.|      1.|    249.|      -23.83|       47.42|        1.16|        0.00|        0.00|        0.00
     14.|      2.|    122.|        7.63|       22.74|        1.65|        0.00|        0.00|        0.00
     14.|      3.|    122.|        7.63|       22.74|        1.65|        0.00|        0.00|        0.00
     14.|      4.|    122.|        7.63|       22.74|        1.65|        0.00|        0.00|        0.00
     14.|      5.|    122.|        7.63|       22.74|        1.65|        0.00|        0.00|        0.00
     14.|      6.|    122.|        7.63|       22.74|        1.65|        0.00|        0.00|        0.00
     15.|      1.|    249.|      -24.22|       48.20|        1.16|        0.00|        0.00|        0.00
     15.|      2.|    122.|        6.80|       21.66|        1.65|        0.00|        0.00|        0.00
     15.|      3.|    122.|        6.80|       21.66|        1.65|        0.00|        0.00|        0.00
     15.|      4.|    122.|        6.80|       21.66|        1.65|        0.00|        0.00|        0.00
     15.|      5.|    122.|        6.80|       21.66|        1.65|        0.00|        0.00|        0.00
     15.|      6.|    122.|        6.80|       21.66|        1.65|        0.00|        0.00|        0.00
     16.|      1.|    249.|      -24.60|       48.97|        1.16|        0.00|        0.00|        0.00
     16.|      2.|    122.|        5.97|       20.58|        1.65|        0.00|        0.00|        0.00
     16.|      3.|    122.|        5.97|       20.58|        1.65|        0.00|        0.00|        0.00
     16.|      4.|    122.|        5.97|       20.58|        1.65|        0.00|        0.00|        0.00
     16.|      5.|    122.|        5.97|       20.58|        1.65|        0.00|        0.00|        0.00
     16.|      6.|    122.|        5.97|       20.58|        1.65|        0.00|        0.00|        0.00
     17.|      1.|    249.|      -24.98|       49.73|        1.16|        0.00|        0.00|        0.00
     17.|      2.|    122.|        5.13|       19.48|        1.65|        0.00|        0.00|        0.00
     17.|      3.|    122.|        5.13|       19.48|        1.65|        0.00|        0.00|        0.00
     17.|      4.|    122.|        5.13|       19.48|        1.65|        0.00|        0.00|        0.00
     17.|      5.|    122.|        5.13|       19.48|        1.65|        0.00|        0.00|        0.00
     17.|      6.|    122.|        5.13|       19.48|        1.65|        0.00|        0.00|        0.00
